trial,subID,present,searchType,arraySize,response,RT,correct
1,12,1,feature,8,y,1.867,1
2,12,1,feature,4,y,0.770,1
3,12,1,feature,4,y,0.547,1
4,12,1,conjunction,16,y,1.316,1
5,12,1,conjunction,16,y,1.096,1
6,12,1,conjunction,16,y,0.471,1
7,12,0,feature,16,n,1.783,1
8,12,1,feature,8,y,0.523,1
9,12,1,conjunction,4,y,0.564,1
10,12,0,feature,8,n,0.824,1
11,12,0,conjunction,16,n,1.485,1
12,12,0,conjunction,8,n,0.911,1
13,12,1,conjunction,32,y,1.203,1
14,12,1,conjunction,8,y,0.529,1
15,12,1,conjunction,4,y,0.483,1
16,12,1,feature,8,y,0.610,1
17,12,0,conjunction,4,n,0.778,1
18,12,0,feature,8,n,0.659,1
19,12,0,feature,16,n,1.400,1
20,12,1,feature,4,y,0.574,1
21,12,1,feature,8,y,1.049,1
22,12,1,feature,32,n,0.416,0
23,12,1,conjunction,8,n,0.005,0
24,12,1,conjunction,16,n,0.259,0
25,12,0,feature,8,n,0.262,1
26,12,1,feature,16,n,0.262,0
27,12,0,conjunction,32,n,0.394,1
28,12,1,conjunction,8,n,0.210,0
29,12,0,conjunction,4,n,0.256,1
30,12,1,feature,32,n,0.261,0
31,12,0,feature,8,n,0.231,1
32,12,1,feature,8,n,0.232,0
33,12,0,feature,32,n,0.266,1
34,12,1,conjunction,32,n,0.217,0
35,12,0,feature,16,n,0.200,1
36,12,0,conjunction,16,y,0.212,0
37,12,0,feature,4,n,0.281,1
38,12,1,conjunction,32,y,0.276,1
39,12,1,conjunction,32,n,0.220,0
40,12,0,conjunction,8,y,0.241,0
41,12,1,feature,32,y,0.732,1
42,12,1,feature,16,y,0.558,1
43,12,0,conjunction,32,y,0.405,0
44,12,1,feature,32,y,0.271,1
45,12,1,feature,4,y,0.226,1
46,12,0,feature,16,y,2.326,0
47,12,0,conjunction,8,n,0.352,1
48,12,1,conjunction,8,y,0.261,1
49,12,1,conjunction,4,y,0.429,1
50,12,1,feature,16,n,0.936,0
51,12,0,feature,32,y,0.699,0
52,12,1,conjunction,4,y,0.262,1
53,12,0,conjunction,16,y,0.509,0
54,12,0,conjunction,8,y,0.260,0
55,12,1,feature,4,y,0.464,1
56,12,0,feature,32,y,0.649,0
57,12,1,conjunction,8,y,0.261,1
58,12,0,conjunction,16,n,1.823,1
59,12,0,conjunction,4,n,0.711,1
60,12,0,conjunction,32,n,1.488,1
61,12,0,conjunction,4,n,0.995,1
62,12,0,feature,4,n,0.488,1
63,12,1,feature,16,y,0.946,1
64,12,0,feature,32,y,1.989,0
65,12,0,conjunction,32,n,0.275,1
66,12,1,feature,32,y,0.412,1
67,12,1,feature,16,y,0.982,1
68,12,1,conjunction,32,y,0.804,1
69,12,0,feature,8,n,0.594,1
70,12,0,conjunction,32,y,1.157,0
71,12,1,conjunction,16,y,0.835,1
72,12,0,feature,16,y,1.128,0
73,12,0,feature,4,n,0.922,1
74,12,0,conjunction,16,n,1.274,1
75,12,0,conjunction,8,n,0.729,1
76,12,0,feature,32,n,0.760,1
77,12,0,feature,4,n,0.619,1
78,12,0,feature,4,n,0.417,1
79,12,0,conjunction,4,n,0.488,1
80,12,1,conjunction,4,n,0.449,0
